date,avg_wage
2008-01-01,15.10
2008-02-01,15.15
2008-03-01,15.13
2008-04-01,15.21
2008-05-01,15.24
2008-06-01,15.21
2008-07-01,15.22
2008-08-01,15.28
2008-09-01,15.26
2008-10-01,15.24
2008-11-01,15.25
2008-12-01,15.29
2009-01-01,15.30
2009-02-01,15.32
2009-03-01,15.33
2009-04-01,15.31
2009-05-01,15.37
2009-06-01,15.35
2009-07-01,15.40
2009-08-01,15.54
2009-09-01,15.49
2009-10-01,15.42
2009-11-01,15.44
2009-12-01,15.47
2010-01-01,15.50
2010-02-01,15.48
2010-03-01,15.55
2010-04-01,15.62
2010-05-01,15.50
2010-06-01,15.53
2010-07-01,15.57
2010-08-01,15.56
2010-09-01,15.58
2010-10-01,15.66
2010-11-01,15.67
2010-12-01,15.67
2011-01-01,15.72
2011-02-01,15.74
2011-03-01,15.74
2011-04-01,15.80
2011-05-01,15.83
2011-06-01,15.82
2011-07-01,15.99
2011-08-01,15.84
2011-09-01,15.80
2011-10-01,15.95
2011-11-01,16.05
2011-12-01,16.03
2012-01-01,16.02
2012-02-01,16.07
2012-03-01,16.10
2012-04-01,16.14
2012-05-01,16.21
2012-06-01,16.34
2012-07-01,16.35
2012-08-01,16.34
2012-09-01,16.42
2012-10-01,16.43
2012-11-01,16.38
2012-12-01,16.47
2013-01-01,16.54
2013-02-01,16.54
2013-03-01,16.59
2013-04-01,16.61
2013-05-01,16.59
2013-06-01,16.63
2013-07-01,16.63
2013-08-01,16.70
2013-09-01,16.67
2013-10-01,16.71
2013-11-01,16.71
2013-12-01,16.66
2014-01-01,16.76
2014-02-01,16.84
2014-03-01,16.86
